Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
mackay whitsunday isaac,proserpine,proserpine,irrigated agriculture,1999,2771.3,244.4,8.8,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,irrigated agriculture,2009,2771.2,248.3,9,3.9,1.6,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,irrigated agriculture,2016,2771.2,248.2,9,-0.1,-0,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,irrigated agriculture,2021,2770.7,247,8.9,-1.2,-0.5,2021 to 2016
wet tropics,barron,barron,irrigated agriculture,1999,2381.4,229.9,9.7,0,0,1999 to 1999
wet tropics,barron,barron,irrigated agriculture,2009,2368.3,217.9,9.2,-12,-5.2,2009 to 1999
wet tropics,barron,barron,irrigated agriculture,2015,2385,209.1,8.8,-8.8,-4,2015 to 2009
wet tropics,barron,barron,irrigated agriculture,2021,2192.8,226,10.3,16.9,8.1,2021 to 2015
wet tropics,daintree,daintree,irrigated agriculture,1999,2123.3,2.3,0.1,0,0,1999 to 1999
wet tropics,daintree,daintree,irrigated agriculture,2009,2120.6,3.2,0.2,0.9,41,2009 to 1999
wet tropics,daintree,daintree,irrigated agriculture,2015,2115.7,2.6,0.1,-0.7,-20.5,2015 to 2009
wet tropics,daintree,daintree,irrigated agriculture,2021,2104.8,2.1,0.1,-0.5,-19.1,2021 to 2015
wet tropics,herbert,herbert,irrigated agriculture,1999,10001.3,205.2,2.1,0,0,1999 to 1999
wet tropics,herbert,herbert,irrigated agriculture,2009,9994.8,185.5,1.9,-19.7,-9.6,2009 to 1999
wet tropics,herbert,herbert,irrigated agriculture,2015,9950.2,193.2,1.9,7.7,4.2,2015 to 2009
wet tropics,herbert,herbert,irrigated agriculture,2021,9871.2,211.5,2.1,18.3,9.5,2021 to 2015
wet tropics,johnstone,johnstone,irrigated agriculture,1999,2459.7,76.7,3.1,0,0,1999 to 1999
wet tropics,johnstone,johnstone,irrigated agriculture,2009,2456.4,72.6,3,-4.1,-5.4,2009 to 1999
wet tropics,johnstone,johnstone,irrigated agriculture,2015,2455.5,68.3,2.8,-4.3,-5.9,2015 to 2009
wet tropics,johnstone,johnstone,irrigated agriculture,2021,2316.9,67.4,2.9,-0.9,-1.4,2021 to 2015
wet tropics,mossman,mossman,irrigated agriculture,1999,513.4,0.4,0.1,0,0,1999 to 1999
wet tropics,mossman,mossman,irrigated agriculture,2009,498,0.7,0.1,0.2,58.3,2009 to 1999
wet tropics,mossman,mossman,irrigated agriculture,2015,496,0.8,0.2,0.2,25.2,2015 to 2009
wet tropics,mossman,mossman,irrigated agriculture,2021,465.4,0.7,0.2,-0.1,-11.6,2021 to 2015
wet tropics,mulgrave,mulgrave,irrigated agriculture,1999,1332.9,2.9,0.2,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,irrigated agriculture,2009,1333.3,2.1,0.2,-0.8,-28.7,2009 to 1999
wet tropics,mulgrave,mulgrave,irrigated agriculture,2015,1332.9,2,0.2,-0.1,-2.9,2015 to 2009
wet tropics,mulgrave,mulgrave,irrigated agriculture,2021,1319.3,3.9,0.3,1.8,88.5,2021 to 2015
wet tropics,murray,murray,irrigated agriculture,1999,1516.4,22.4,1.5,0,0,1999 to 1999
wet tropics,murray,murray,irrigated agriculture,2009,1514.3,14.7,1,-7.7,-34.5,2009 to 1999
wet tropics,murray,murray,irrigated agriculture,2015,1514.9,8.3,0.5,-6.4,-43.4,2015 to 2009
wet tropics,murray,murray,irrigated agriculture,2021,1501.3,8.4,0.6,0.1,0.8,2021 to 2015
wet tropics,russell,russell,irrigated agriculture,1999,718.4,8.1,1.1,0,0,1999 to 1999
wet tropics,russell,russell,irrigated agriculture,2009,695.6,10,1.4,1.9,23.8,2009 to 1999
wet tropics,russell,russell,irrigated agriculture,2015,696.1,11.9,1.7,1.9,18.8,2015 to 2009
wet tropics,russell,russell,irrigated agriculture,2021,670.3,11.9,1.8,0,0.1,2021 to 2015
wet tropics,tully,tully,irrigated agriculture,1999,1718,48.4,2.8,0,0,1999 to 1999
wet tropics,tully,tully,irrigated agriculture,2009,1711.8,59.6,3.5,11.2,23.2,2009 to 1999
wet tropics,tully,tully,irrigated agriculture,2015,1712.8,55.5,3.2,-4.1,-6.9,2015 to 2009
wet tropics,tully,tully,irrigated agriculture,2021,1684,43.8,2.6,-11.7,-21.1,2021 to 2015
burdekin,burdekin,belyando,mining,1999,36750.6,1,0,0,0,1999 to 1999
burdekin,burdekin,belyando,mining,2009,36972.8,1.8,0,0.7,73,2009 to 1999
burdekin,burdekin,belyando,mining,2016,36042.5,4.2,0,2.4,139.1,2016 to 2009
burdekin,burdekin,belyando,mining,2021,35412.7,27.2,0.1,23,547.2,2021 to 2016
burdekin,burdekin,broke bogie,mining,1999,11999.6,40.3,0.3,0,0,1999 to 1999
burdekin,burdekin,broke bogie,mining,2009,12195.9,52.8,0.4,12.5,31,2009 to 1999
burdekin,burdekin,broke bogie,mining,2016,12226.5,68.9,0.6,16.2,30.7,2016 to 2009
burdekin,burdekin,broke bogie,mining,2021,11722.3,82.9,0.7,14,20.3,2021 to 2016
burdekin,burdekin,cape campaspe,mining,1999,20626.4,6.4,0,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,mining,2009,20630.3,6.7,0,0.4,5.6,2009 to 1999
burdekin,burdekin,cape campaspe,mining,2016,20584.4,7.7,0,1,14.5,2016 to 2009
burdekin,burdekin,cape campaspe,mining,2021,20448.4,9.3,0,1.6,20.6,2021 to 2016
burdekin,burdekin,lower burdekin,mining,1999,3794.4,0.1,0,0,0,1999 to 1999
